id,item,name,error,gold,prediction,gold_evidence,predicted_evidence
PPS-DEV-01,v1,참가자격 특정기관 제한,FN,1,0,"라. 본 용역은 「고등교육법」 제2조에 따른 대학 또는 「산업교육진흥
및 산학연협력촉진에 관한 법률」 제25조에 따른 산학협력단만 참여 가능함",
PPS-DEV-046,v1,참가자격 특정기관 제한,FN,1,0,,
PPS-DEV-049,v1,참가자격 특정기관 제한,FN,1,0,,
PPS-DEV-063,v1,참가자격 특정기관 제한,FN,1,0,,
PPS-DEV-072,v1,참가자격 특정기관 제한,FN,1,0,,
PPS-DEV-053,v2,고시금액 미만 실적제한,FN,1,0,④ 입찰공고일 기준 최근 3년 이내에 단일건으로 1억 원 이상 [수요기관(공공기관)]에서 발주한 유사사업 및 동등이상 관련 사업 등을 실적이 있는 업체(하도급 제외) ※ 실적증명이 가능하고 공고일 현재 용역이 완료된 것,
PPS-DEV-059,v2,고시금액 미만 실적제한,FP,0,1,,"◦ 공고일 기준 최근 3년 이내 공공기관(국가,지자체,공기업 포함) 통근버스 운행 실적이 2억원 이상 있는 업체만 참가 자격이 있습니다."
PPS-DEV-062,v2,고시금액 미만 실적제한,FN,1,0,"2) 공고일 전일 기준 최근 5년 이내 국가,정부투자기관에서 시행한 단일 건 3억 원(VAT포함) 이상의 축제, 공연 등 문화행사 수행실적이 있어야 합니다.",
PPS-DEV-099,v2,고시금액 미만 실적제한,FP,0,1,,"※ 공고일 전일 기준, 최근 3년 이내 단일 건으로 5천만원 이상(부가세 포함)의 수행실적 기재"
PPS-DEV-165,v2,고시금액 미만 실적제한,FP,0,1,,"※ 연구용역의 범위 : 최근 5년간 국가, 지방자치단체, 공공기관 등에서 발주한 본 사업과 관련된 유사용역 수행실적으로 3천만원 이상 단일계약건"
PPS-DEV-053,v3,실적제한 1배수 이상,FN,1,0,④ 입찰공고일 기준 최근 3년 이내에 단일건으로 1억 원 이상 [수요기관(공공기관)]에서 발주한 유사사업 및 동등이상 관련 사업 등을 실적이 있는 업체(하도급 제외) ※ 실적증명이 가능하고 공고일 현재 용역이 완료된 것,
PPS-DEV-062,v3,실적제한 1배수 이상,FN,1,0,"2) 공고일 전일 기준 최근 5년 이내 국가,정부투자기관에서 시행한 단일 건 3억 원(VAT포함) 이상의 축제, 공연 등 문화행사 수행실적이 있어야 합니다.",
PPS-DEV-04,v4,"고시금액 이상 특정기관, 특정실적",FP,0,1,,"최근 5년 간 단일 건으로 455,000,000원 이상(기초금액의 130% 이상)의 해양탐사 또는 수중조사 또는 침몰선박 조사·확인작업 분야 각종 작업 1건 이상 수행실적을 실적증명서로 제출이 가능한 업체"
PPS-DEV-06,v4,"고시금액 이상 특정기관, 특정실적",FN,1,0,다. 최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체,
