author,id,feature,gold,valid,strict_format,format_violation,invalid_reason,error_type,prediction,evidence_json,evidence_empty,evidence_substring,absence_evidence_nonempty,positive_nonabsence_missing,positive_nonabsence_not_substring,normal_nonempty,finish_reason,stop_reason,output_tokens,raw_response
CJH,PPS-DEV-01,v10,0,False,False,complete_code_fence,wrong_keys,invalid,,null,,,False,False,False,False,stop,106,172,"```json
{
  ""v10"": {
    ""위반여부"": 0,
    ""근거문구"": ""입찰참가자격 4항 나. 『판로지원법』 제9조 및 같은 법 시행령 제10조에 따라 다음 세부품명으로 ‘직접생산확인증명서’를 모두 소지한 자로서 전자입찰서 제출 마감일 전일까지 발급되어 유효기간 내 있어야 함 - 세부품명: 기타 행사기획 및 대행서비스(세부품명번호 8014199001), 축제기획 및 대행 서비스(세부품명번호 9015189001)""
  }
}
```"
CJH,PPS-DEV-02,v10,0,False,False,complete_code_fence,wrong_keys,invalid,,null,,,False,False,False,False,stop,106,27,"```json
{
  ""v10"": 0,
  ""e10"": null
}
```"
CJH,PPS-DEV-03,v10,0,False,False,complete_code_fence,wrong_keys,invalid,,null,,,False,False,False,False,stop,106,117,"```json
{
  ""v10"": {
    ""위반여부"": 0,
    ""근거문구"": ""공고의 실제 구매 대상은 '공공기관 청년복합공간 디자인 및 실시 설계 용역'으로, 이는 디자인 및 설계 용역(서비스)에 해당하며, 제공된 경쟁제품 목록(건자재, 출판물, 가구 등)에 포함된 직접생산 확인 대상인 '경쟁제품'에 해당하지 않음.""
  }
}
```"
CJH,PPS-DEV-04,v10,0,False,False,complete_code_fence,wrong_keys,invalid,,null,,,False,False,False,False,stop,106,27,"```json
{
  ""v10"": 0,
  ""e10"": null
}
```"
CJH,PPS-DEV-05,v10,0,False,False,complete_code_fence,wrong_keys,invalid,,null,,,False,False,False,False,stop,106,27,"```json
{
  ""v10"": 0,
  ""e10"": null
}
```"
CJH,PPS-DEV-06,v10,0,False,False,complete_code_fence,wrong_keys,invalid,,null,,,False,False,False,False,stop,106,40,"```json
{
  ""v10"": {
    ""위반여부"": 0,
    ""근거문구"": null
  }
}
```"
CJH,PPS-DEV-07,v10,0,False,False,complete_code_fence,wrong_keys,invalid,,null,,,False,False,False,False,stop,106,40,"```json
{
  ""v10"": {
    ""위반여부"": 0,
    ""근거문구"": null
  }
}
```"
CJH,PPS-DEV-08,v10,0,False,False,complete_code_fence,wrong_keys,invalid,,null,,,False,False,False,False,stop,106,40,"```json
{
  ""v10"": {
    ""위반여부"": 0,
    ""근거문구"": null
  }
}
```"
CJH,PPS-DEV-09,v10,0,False,False,complete_code_fence,wrong_keys,invalid,,null,,,False,False,False,False,stop,106,112,"```json
{
  ""v10"": {
    ""위반여부"": 1,
    ""근거문구"": ""입찰참가자격에 '중소기업확인서' 소지는 명시되어 있으나, 경쟁제품(세부품명번호 4321150102, 컴퓨터서버) 입찰임에도 불구하고 직접생산확인증명서 소지 요건이 명시되어 있지 않음""
  }
}
```"
CJH,PPS-DEV-10,v10,0,False,False,complete_code_fence,wrong_keys,invalid,,null,,,False,False,False,False,stop,106,27,"```json
{
  ""v10"": 0,
  ""e10"": null
}
```"
